Frame,Damage
0,0
175,400
176,400
177,400
179,400
180,400
191,400
192,400
193,400
197,400
205,400
208,400
209,400
211,400
221,400
222,400
224,400
225,400
226,400
227,400
228,400
229,400
234,400
235,400
238,400
239,400
240,400
243,400
244,400
245,400
246,400
248,400
249,400
253,400
254,400
277,400
278,400
279,400
280,400
308,510
315,524
316,524
317,524
344,524
345,524
346,524
375,524
376,524
377,524
400,524
401,524
482,524
483,524
484,524
485,524
502,524
503,524
504,524
529,699
530,699
531,699
547,799
548,799
566,799
586,799
587,817
591,963
592,963
593,963
594,963
612,963
620,963
637,963
638,963
711,963
712,963
713,963
735,963
748,963
749,963
757,1035
955,1431
956,1431
957,1431
1197,1550
1198,1640
1217,1752
1268,1803
1272,1903
1273,1903
1274,1903
1279,2025
1280,2025
1282,2025
1287,2025
1289,2025
1290,2025
1293,2025
1294,2025
1295,2025
1299,2136
1300,2136
1302,2168
1303,2168
1304,2168
1306,2168
1308,2168
1310,2168
1311,2168
1312,2168
1313,2168
1314,2203
1315,2203
1316,2203
1317,2203
1318,2203
1319,2203
1320,2203
1321,2203
1322,2203
1323,2203
1324,2203
1325,2203
1326,2203
1327,2203
1328,2203
1329,2203
1330,2203
1331,2203
1332,2203
1333,2203
1334,2203
1335,2203
1336,2203
1337,2203
1338,2203
1339,2203
1340,2203
1341,2251
1342,2251
1343,2299
1344,2299
1345,2299
1347,2299
1348,2299
1349,2347
1350,2347
1351,2347
1352,2347
1354,2347
1355,2347
1356,2347
1357,2347
1359,2347
1360,2347
1361,2347
1363,2347
1364,2347
1365,2347
1366,2347
1367,2347
1368,2347
1369,2347
1370,2347
1371,2347
1372,2347
1373,2347
1374,2347
1375,2347
1376,2347
1377,2347
1378,2347
1379,2347
1380,2347
1382,2347
1384,2347
1385,2347
1386,2347
1387,2347
1388,2347
1389,2347
1390,2347
1391,2347
1394,2347
1395,2347
1396,2347
1397,2384
1398,2384
1399,2384
1400,2384
1401,2384
1402,2384
1403,2384
1404,2384
1405,2384
1406,2384
1407,2384
1408,2384
1409,2384
1411,2384
1412,2384
1413,2384
1414,2384
1415,2403
1416,2403
1418,2403
1420,2403
1422,2403
1423,2403
1424,2403
1425,2403
1426,2403
1429,2403
1430,2403
1431,2403
1432,2403
1433,2403
1434,2403
1435,2403
1436,2403
1438,2403
1439,2403
1440,2403
1441,2403
1442,2403
1443,2403
1444,2403
1445,2403
1447,2403
1448,2403
1449,2403
1450,2403
1451,2403
1452,2403
1453,2403
1454,2403
1455,2403
1456,2403
1457,2403
1458,2403
1459,2438
1460,2438
1461,2438
1462,2438
1463,2438
1464,2438
1465,2438
1466,2438
1467,2438
1468,2438
1470,2438
1471,2438
1472,2438
1473,2438
1474,2438
1475,2438
1476,2438
1477,2438
1478,2438
1479,2438
1480,2438
1481,2438
1482,2438
1483,2438
1486,2438
1488,2438
1489,2438
1490,2438
1491,2438
1492,2438
1493,2438
1494,2438
1495,2438
1496,2438
1497,2438
1498,2438
1499,2438
1500,2438
1501,2438
1502,2438
1503,2470
1504,2505
1505,2540
1506,2540
1507,2540
1508,2540
1509,2540
1510,2540
1511,2540
1512,2540
1513,2540
1514,2540
1516,2552
1517,2579
1522,2579
1524,2579
1537,2579
1538,2579
1539,2579
1540,2579
1541,2579
1542,2579
1543,2579
1544,2579
1545,2579
1547,2579
1548,2579
1549,2579
1550,2579
1552,2579
1554,2579
1555,2579
1558,2579
1559,2579
1560,2579
1562,2579
1563,2579
1565,2579
1570,2579
1571,2579
1572,2579
1574,2579
1575,2579
1577,2579
1578,2579
1579,2579
1581,2579
1587,2579
1592,2579
1593,2579
1594,2579
1595,2579
1597,2579
1600,2579
1601,2579
1602,2579
1603,2579
1604,2579
1605,2579
1606,2579
1607,2579
1608,2579
1610,2579
1612,2579
1613,2579
1614,2579
1615,2579
1616,2579
1617,2579
1619,2579
1620,2579
1623,2579
1624,2579
1630,2579
1633,2579
1634,2579
1646,2579
1647,2579
1653,2579
1665,2579
1666,2579
1667,2579
1669,2579
1671,2579
1698,2579
1699,2579
1700,2579
1702,2579
1703,2579
1704,2579
1709,2579
1712,2579
1717,2624
1718,2681
1719,2723
